Fecha,Plato,Cantidad Vendida
03/09/2026,Ceviche Clásico,25
03/09/2026,Lomo Saltado,15
03/09/2026,Pastel de Choclo,12
03/09/2026,Salmón Grillé,12
03/09/2026,Tartar de Atún,11
03/09/2026,Empanada de Pino,32
03/09/2026,Machas a la Parmesana,15
03/09/2026,Cazuela de Vacuno,12
04/09/2026,Ceviche Mixto,27
04/09/2026,Ceviche Clásico,31
04/09/2026,Lomo Saltado,27
04/09/2026,Pastel de Choclo,21
04/09/2026,Salmón Grillé,18
04/09/2026,Tartar de Atún,15
04/09/2026,Empanada de Pino,49
04/09/2026,Machas a la Parmesana,23
04/09/2026,Cazuela de Vacuno,22
05/09/2026,Ceviche Mixto,33
05/09/2026,Ceviche Clásico,37
05/09/2026,Lomo Saltado,31
05/09/2026,Pastel de Choclo,26
05/09/2026,Salmón Grillé,21
05/09/2026,Tartar de Atún,18
05/09/2026,Empanada de Pino,60
05/09/2026,Machas a la Parmesana,27
05/09/2026,Cazuela de Vacuno,22
06/09/2026,Ceviche Mixto,21
06/09/2026,Ceviche Clásico,26
06/09/2026,Lomo Saltado,30
06/09/2026,Pastel de Choclo,17
06/09/2026,Salmón Grillé,20
06/09/2026,Tartar de Atún,14
06/09/2026,Empanada de Pino,34
06/09/2026,Machas a la Parmesana,21
06/09/2026,Cazuela de Vacuno,16
07/09/2026,Ceviche Mixto,16
07/09/2026,Ceviche Clásico,11
07/09/2026,Lomo Saltado,13
07/09/2026,Pastel de Choclo,11
07/09/2026,Salmón Grillé,10
07/09/2026,Tartar de Atún,9
07/09/2026,Empanada de Pino,23
07/09/2026,Machas a la Parmesana,9
07/09/2026,Cazuela de Vacuno,10
08/09/2026,Ceviche Mixto,16
08/09/2026,Ceviche Clásico,18
08/09/2026,Lomo Saltado,18
08/09/2026,Pastel de Choclo,13
08/09/2026,Salmón Grillé,11
08/09/2026,Tartar de Atún,8
08/09/2026,Empanada de Pino,15
08/09/2026,Machas a la Parmesana,13
08/09/2026,Cazuela de Vacuno,9
09/09/2026,Ceviche Mixto,17
09/09/2026,Ceviche Clásico,15
09/09/2026,Lomo Saltado,14
09/09/2026,Pastel de Choclo,15
09/09/2026,Salmón Grillé,11
09/09/2026,Tartar de Atún,10
09/09/2026,Empanada de Pino,25
09/09/2026,Machas a la Parmesana,14
09/09/2026,Cazuela de Vacuno,12
10/09/2026,Ceviche Mixto,18
10/09/2026,Ceviche Clásico,22
10/09/2026,Lomo Saltado,19
10/09/2026,Pastel de Choclo,14
10/09/2026,Salmón Grillé,13
10/09/2026,Tartar de Atún,11
10/09/2026,Empanada de Pino,28
10/09/2026,Machas a la Parmesana,19
10/09/2026,Cazuela de Vacuno,11
